BN	TN	seqType	Horizon	FT	PrepTime	press0	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	press12	press13	cueP	complete	iti	MT	RT	isError	response0	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	response12	response13	pressTime0	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	pressTime12	pressTime13	timeThreshold2	timeThreshold3	timeThreshold4	timeThreshold14	points	Gain1	Gain2	Gain3	Gain4	Gain5	StimTimeLim	
1	25	1	5	1	3000	5	4	1	3	2	4	3	5	1	2	5	2	1	3	54132435125213	0	5000	5194.000	518.000	1	5	4	3	3	2	4	3	5	1	2	5	2	1	3	5522.000	5738.000	6038.000	7158.000	7806.000	8098.000	8334.000	8596.000	8854.000	9106.000	9452.000	10108.000	10360.000	10576.000	800.000	1100.000	1500.000	6000.000	0	1.000	1.000	1.000	1.000	1.000	15000	
1	26	1	6	1	3000	1	5	3	4	2	5	4	2	3	1	5	4	1	2	15342542315412	0	5000	4046.000	656.000	0	1	5	3	4	2	5	4	2	3	1	5	4	1	2	5660.000	5898.000	6122.000	6362.000	6582.000	6834.000	7078.000	8056.000	8332.000	8642.000	8950.000	9166.000	9448.000	9612.000	800.000	1100.000	1500.000	6000.000	3	1.000	1.000	1.000	1.000	1.000	15000	
1	27	1	1	1	3000	5	4	2	3	1	2	4	3	5	1	5	2	4	1	54231243515241	0	5000	6248.000	470.000	0	5	4	2	3	1	2	4	3	5	1	5	2	4	1	5474.000	6078.000	6638.000	7106.000	7492.000	7954.000	8464.000	8880.000	9340.000	9736.000	10194.000	10700.000	11180.000	11584.000	800.000	1100.000	1500.000	6000.000	1	1.000	1.000	1.000	1.000	1.000	15000	
2	1	2	4	1	3000	4	2	3	1	5	1	5	4	2	3	5	3	4	1	42315154235341	0	5000	4772.000	582.000	0	4	2	3	1	5	1	5	4	2	3	5	3	4	1	5586.000	5848.000	6120.000	6446.000	6714.000	7048.000	7322.000	7892.000	8740.000	8994.000	9226.000	9706.000	9976.000	10250.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	2	2	1	1	3000	5	3	1	4	2	4	5	3	1	2	4	3	5	2	53142453124352	0	5000	7482.000	530.000	1	5	3	1	4	2	4	5	3	1	2	4	3	1	2	5534.000	6024.000	6560.000	7032.000	7458.000	7984.000	8696.000	9134.000	9640.000	10128.000	10620.000	11122.000	11632.000	12904.000	800.000	1100.000	1500.000	5020.400	0	1.000	1.000	1.000	1.000	1.000	15000	
2	3	2	7	1	3000	1	3	2	5	4	1	5	3	4	2	5	1	2	4	13254153425124	0	5000	4524.000	586.000	0	1	3	2	5	4	1	5	3	4	2	5	1	2	4	5590.000	5798.000	6064.000	6352.000	6656.000	7512.000	7788.000	8066.000	8416.000	9010.000	9280.000	9534.000	9790.000	10008.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	4	2	6	1	3000	2	3	5	1	4	3	1	2	4	5	3	1	4	5	23514312453145	0	5000	4588.000	536.000	0	2	3	5	1	4	3	1	2	4	5	3	1	4	5	5540.000	5694.000	5920.000	6126.000	7388.000	7706.000	8050.000	8338.000	8572.000	8984.000	9256.000	9572.000	9820.000	10024.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	5	2	8	1	3000	2	3	5	4	1	3	1	4	5	2	1	3	2	5	23541314521325	0	5000	4336.000	624.000	0	2	3	5	4	1	3	1	4	5	2	1	3	2	5	5628.000	5794.000	6002.000	6538.000	6824.000	7056.000	7530.000	7800.000	8130.000	8506.000	8892.000	9190.000	9606.000	9856.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	6	2	2	1	3000	4	1	5	2	3	1	4	2	3	5	3	2	5	1	41523142353251	0	5000	5376.000	746.000	0	4	1	5	2	3	1	4	2	3	5	3	2	5	1	5750.000	6030.000	6336.000	6664.000	6934.000	7414.000	7652.000	8426.000	8642.000	9200.000	9450.000	9908.000	10200.000	11018.000	800.000	1100.000	1500.000	5020.400	2	1.000	1.000	1.000	1.000	1.000	15000	
2	7	2	3	1	3000	2	4	5	3	1	5	2	4	1	3	1	5	3	4	24531524131534	0	5000	4608.000	622.000	0	2	4	5	3	1	5	2	4	1	3	1	5	3	4	5626.000	5798.000	6000.000	6422.000	6682.000	6956.000	7492.000	7742.000	8466.000	8690.000	8960.000	9492.000	9752.000	10052.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	8	2	5	1	3000	3	1	5	4	2	4	3	1	5	2	1	4	3	5	31542431521435	0	5000	4414.000	990.000	0	3	1	5	4	2	4	3	1	5	2	1	4	3	5	5994.000	6176.000	6342.000	6532.000	6738.000	7264.000	7756.000	8436.000	8712.000	9038.000	9578.000	9880.000	10120.000	10302.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	9	2	3	1	3000	2	4	5	1	3	4	1	2	5	3	4	1	5	2	24513412534152	0	5000	4194.000	478.000	0	2	4	5	1	3	4	1	2	5	3	4	1	5	2	5482.000	5622.000	5822.000	6178.000	6450.000	7080.000	7362.000	7680.000	7990.000	8246.000	8584.000	8962.000	9288.000	9576.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	10	2	5	1	3000	4	2	3	1	5	3	4	2	5	1	3	2	5	4	42315342513254	0	5000	4604.000	504.000	0	4	2	3	1	5	3	4	2	5	1	3	2	5	4	5508.000	5696.000	5862.000	6492.000	6750.000	6982.000	7456.000	7730.000	8464.000	8758.000	9138.000	9452.000	9726.000	10000.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	11	2	1	1	3000	2	4	5	3	1	5	3	4	2	1	5	1	3	2	24531534215132	0	5000	6586.000	622.000	0	2	4	5	3	1	5	3	4	2	1	5	1	3	2	5626.000	6128.000	6630.000	7062.000	7532.000	8020.000	8610.000	9152.000	9592.000	10104.000	10636.000	11144.000	11582.000	12118.000	800.000	1100.000	1500.000	5020.400	1	1.000	1.000	1.000	1.000	1.000	15000	
2	12	2	7	1	3000	1	4	2	5	3	4	2	3	1	5	3	5	1	4	14253423153514	0	5000	4136.000	686.000	0	1	4	2	5	3	4	2	3	1	5	3	5	1	4	5690.000	5884.000	6128.000	6352.000	6576.000	6852.000	7150.000	7518.000	8260.000	8518.000	8746.000	9188.000	9534.000	9716.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	13	2	6	1	3000	2	3	5	4	1	4	1	2	5	3	2	5	1	4	23541412532514	0	5000	4276.000	574.000	0	2	3	5	4	1	4	1	2	5	3	2	5	1	4	5578.000	5700.000	5948.000	6276.000	6486.000	6664.000	7852.000	8104.000	8358.000	8608.000	8934.000	9214.000	9526.000	9744.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	14	2	8	1	3000	1	5	3	2	4	1	3	2	4	5	3	1	2	5	15324132453125	0	5000	4248.000	490.000	1	1	5	3	2	4	1	3	2	4	3	3	1	2	5	5494.000	5658.000	5858.000	6096.000	6294.000	6534.000	6760.000	7342.000	7596.000	7834.000	8700.000	9026.000	9464.000	9686.000	800.000	1100.000	1500.000	5020.400	0	1.000	1.000	1.000	1.000	1.000	15000	
2	15	2	4	1	3000	2	3	1	4	5	2	5	3	4	1	4	1	3	5	23145253414135	0	5000	4038.000	676.000	0	2	3	1	4	5	2	5	3	4	1	4	1	3	5	5680.000	5812.000	6040.000	6264.000	6614.000	7000.000	7292.000	7718.000	8084.000	8356.000	8586.000	9172.000	9424.000	9600.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	16	2	2	1	3000	3	5	1	4	2	5	4	2	1	3	4	2	1	3	35142542134213	0	5000	5788.000	794.000	0	3	5	1	4	2	5	4	2	1	3	4	2	1	3	5798.000	6018.000	6354.000	6664.000	7260.000	7528.000	8074.000	8402.000	9118.000	9448.000	10302.000	10582.000	11244.000	11498.000	800.000	1100.000	1500.000	5020.400	2	1.000	1.000	1.000	1.000	1.000	15000	
2	17	2	1	1	3000	1	4	5	2	3	5	2	3	1	4	2	5	3	4	14523523142534	0	5000	6380.000	600.000	0	1	4	5	2	3	5	2	3	1	4	2	5	3	4	5604.000	6104.000	6608.000	7052.000	7464.000	8100.000	8560.000	8976.000	9412.000	9892.000	10354.000	10904.000	11326.000	11868.000	800.000	1100.000	1500.000	5020.400	1	1.000	1.000	1.000	1.000	1.000	15000	
2	18	2	6	1	3000	4	2	1	3	5	2	3	5	1	4	2	4	3	5	42135235142435	0	5000	3718.000	570.000	0	4	2	1	3	5	2	3	5	1	4	2	4	3	5	5574.000	5812.000	6038.000	6296.000	6554.000	6832.000	7182.000	7462.000	7796.000	8048.000	8456.000	8748.000	8990.000	9184.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	19	2	7	1	3000	4	2	5	1	3	2	5	4	1	3	1	2	4	3	42513254131243	0	5000	3606.000	576.000	0	4	2	5	1	3	2	5	4	1	3	1	2	4	3	5580.000	5754.000	5928.000	6148.000	6348.000	6670.000	6952.000	7344.000	7610.000	7836.000	8200.000	8510.000	8786.000	9092.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
2	20	2	4	1	3000	4	1	5	2	3	1	5	3	2	4	2	3	5	1	41523153242351	0	5000	3706.000	560.000	0	4	1	5	2	3	1	5	3	2	4	2	3	5	1	5564.000	5728.000	5912.000	6114.000	6314.000	6558.000	6994.000	7368.000	7666.000	7882.000	8314.000	8592.000	8860.000	9198.000	800.000	1100.000	1500.000	5020.400	3	1.000	1.000	1.000	1.000	1.000	15000	
